target_randomness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,total_randomness,total_latency,total_area,execution_time
41,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,39,7,75,0.0007535000331699848
42,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,39,7,75,0.0012298999354243279
43,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,39,7,75,0.0009198002517223358
44,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,39,7,75,0.0006574001163244247
45,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,45,6,81,0.0008896999061107635
46,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,45,6,81,0.0006641000509262085
47,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,45,6,81,0.0011078999377787113
48,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,45,6,81,0.0006618001498281956
49,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,45,6,81,0.0008974997326731682
50,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,45,6,81,0.0010489998385310173
51,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,45,6,81,0.000708799809217453
52,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,45,6,81,0.0006999000906944275
53,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,45,6,81,0.0012580002658069134
54,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,54,5,90,0.0006885998882353306
55,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,54,5,90,0.0010684002190828323
56,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,54,5,90,0.0009610000997781754
57,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,54,5,90,0.0007066996768116951
58,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,54,5,90,0.0007124999538064003
59,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,54,5,90,0.0019638999365270138
60,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,54,5,90,0.0007978999055922031
61,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,54,5,90,0.0006710998713970184
62,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,54,5,90,0.0006798999384045601
63,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,54,5,90,0.0006731003522872925
64,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,54,5,90,0.0012417999096214771
65,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,54,5,90,0.0006538997404277325
66,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,54,5,90,0.0007565999403595924
67,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,54,5,90,0.0010824999772012234
68,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,54,5,90,0.0006881002336740494
69,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,54,5,90,0.001211599912494421
70,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,54,5,90,0.001790500245988369
71,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,54,5,90,0.0008336999453604221
72,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,72,4,108,0.0008947998285293579
